"","consumptionEnergy","generationEnergy","importedEnergy","exportedEnergy","start","end","net_to_grid","year","month","hour","he","day","date"
"91",18.6979063888889,0.332500833333333,18.3654055555556,0,2017-11-15,2017-11-16,18.3654055555556,2017,11,0,1,15,2017-11-15
"92",19.2248919444444,0.340060555555556,18.8848313888889,0,2017-11-16,2017-11-17,18.8848313888889,2017,11,0,1,16,2017-11-16
"93",16.4713061111111,0.357181111111111,16.1141247222222,0,2017-11-17,2017-11-18,16.1141247222222,2017,11,0,1,17,2017-11-17
"94",28.8094311111111,1.52614916666667,27.2892675,0.00598527777777778,2017-11-18,2017-11-19,27.2832822222222,2017,11,0,1,18,2017-11-18
"95",25.5585783333333,1.5248725,24.0337061111111,0,2017-11-19,2017-11-20,24.0337061111111,2017,11,0,1,19,2017-11-19
"96",18.4968227777778,3.54126777777778,15.5837927777778,0.628237777777778,2017-11-20,2017-11-21,14.955555,2017,11,0,1,20,2017-11-20
"97",24.0152308333333,1.35044777777778,22.6651311111111,0.000348055555555555,2017-11-21,2017-11-22,22.6647830555556,2017,11,0,1,21,2017-11-21
"98",20.7278752777778,1.49875527777778,19.2714777777778,0.0423577777777778,2017-11-22,2017-11-23,19.22912,2017,11,0,1,22,2017-11-22
"99",15.1099591666667,0.880849722222222,14.2294269444444,0.000317222222222222,2017-11-23,2017-11-24,14.2291097222222,2017,11,0,1,23,2017-11-23
"100",16.3685711111111,6.55296472222222,12.8490869444444,3.03348083333333,2017-11-24,2017-11-25,9.81560611111111,2017,11,0,1,24,2017-11-24
"101",15.971055,10.6032822222222,11.6868913888889,6.31911888888889,2017-11-25,2017-11-26,5.3677725,2017,11,0,1,25,2017-11-25
"102",18.1784108333333,3.28509416666667,15.0459763888889,0.152659722222222,2017-11-26,2017-11-27,14.8933166666667,2017,11,0,1,26,2017-11-26
"103",25.7602411111111,9.64403222222222,22.3099822222222,6.19377333333333,2017-11-27,2017-11-28,16.1162088888889,2017,11,0,1,27,2017-11-27
"104",24.9475961111111,7.11887833333333,22.2459663888889,4.41724416666667,2017-11-28,2017-11-29,17.8287222222222,2017,11,0,1,28,2017-11-28
"105",17.3348605555556,12.2523358333333,14.3591308333333,9.27660611111111,2017-11-29,2017-11-30,5.08252472222222,2017,11,0,1,29,2017-11-29
"106",25.9689383333333,13.6113380555556,20.9639044444444,8.60630388888889,2017-11-30,2017-12-01,12.3576005555556,2017,11,0,1,30,2017-11-30
"107",29.0006880555556,9.70612138888889,23.9371772222222,4.64261055555556,2017-12-01,2017-12-02,19.2945666666667,2017,12,0,1,1,2017-12-01
"108",28.3671902777778,2.88375166666667,25.5541338888889,0.0706955555555556,2017-12-02,2017-12-03,25.4834383333333,2017,12,0,1,2,2017-12-02
"109",26.4748119444444,13.3203527777778,20.6004011111111,7.44594166666667,2017-12-03,2017-12-04,13.1544594444444,2017,12,0,1,3,2017-12-03
"110",26.5195802777778,6.23414833333333,22.0982452777778,1.81281305555556,2017-12-04,2017-12-05,20.2854322222222,2017,12,0,1,4,2017-12-04
"111",22.4166158333333,12.6728775,17.2611361111111,7.51739777777778,2017-12-05,2017-12-06,9.74373833333333,2017,12,0,1,5,2017-12-05
"112",19.4071038888889,6.36672805555556,16.2858186111111,3.24544277777778,2017-12-06,2017-12-07,13.0403758333333,2017,12,0,1,6,2017-12-06
"113",20.1873377777778,11.0749422222222,17.0772008333333,7.96480527777778,2017-12-07,2017-12-08,9.11239555555555,2017,12,0,1,7,2017-12-07
"114",15.7317427777778,12.6763530555556,13.0354227777778,9.98003305555556,2017-12-08,2017-12-09,3.05538972222222,2017,12,0,1,8,2017-12-08
"115",32.1867075,11.7874405555556,24.3984088888889,3.99914166666667,2017-12-09,2017-12-10,20.3992672222222,2017,12,0,1,9,2017-12-09
"116",25.7959180555556,11.9207577777778,19.0259283333333,5.15076833333333,2017-12-10,2017-12-11,13.87516,2017,12,0,1,10,2017-12-10
"117",19.3637222222222,6.86865222222222,16.6196966666667,4.12462666666667,2017-12-11,2017-12-12,12.49507,2017,12,0,1,11,2017-12-11
"118",18.241875,6.65210722222222,15.7186511111111,4.12888333333333,2017-12-12,2017-12-13,11.5897677777778,2017,12,0,1,12,2017-12-12
"119",16.9903283333333,10.6507111111111,14.3133591666667,7.97374194444444,2017-12-13,2017-12-14,6.33961722222222,2017,12,0,1,13,2017-12-13
"120",20.7561425,8.24388083333333,17.8285677777778,5.31630583333333,2017-12-14,2017-12-15,12.5122619444444,2017,12,0,1,14,2017-12-14
"121",21.9504925,8.78291972222222,17.8820277777778,4.714455,2017-12-15,2017-12-16,13.1675727777778,2017,12,0,1,15,2017-12-15
"122",24.6740663888889,12.1060691666667,19.7774597222222,7.20946305555556,2017-12-16,2017-12-17,12.5679966666667,2017,12,0,1,16,2017-12-16
"123",28.8801575,3.31205944444444,25.7849247222222,0.216826388888889,2017-12-17,2017-12-18,25.5680983333333,2017,12,0,1,17,2017-12-17
"124",24.0211822222222,10.4129122222222,21.1363938888889,7.52812388888889,2017-12-18,2017-12-19,13.60827,2017,12,0,1,18,2017-12-18
"125",23.6216077777778,1.46887555555556,22.1527322222222,0,2017-12-19,2017-12-20,22.1527322222222,2017,12,0,1,19,2017-12-19
"126",23.3237272222222,11.6934544444444,18.5597691666667,6.92949583333333,2017-12-20,2017-12-21,11.6302733333333,2017,12,0,1,20,2017-12-20
