ID,Year,Month,Cumulative Installed Capacity,City
79,2016,July,2890.84,Edmonton
80,2016,August,2922.37,Edmonton
81,2016,September,2959.63,Edmonton
82,2016,October,2978.17,Edmonton
83,2016,November,3003.52,Edmonton
84,2016,December,3008.92,Edmonton
85,2017,January,3020.19,Edmonton
86,2017,February,3020.19,Edmonton
87,2017,March,3088.43,Edmonton
88,2017,April,3106.43,Edmonton
89,2017,May,3137.01,Edmonton
90,2017,June,3193.16,Edmonton
91,2017,July,3310.81,Edmonton
92,2017,August,3517.62,Edmonton
93,2017,September,4389.62,Edmonton
94,2017,October,4514.62,Edmonton
95,2017,November,4934.2,Edmonton
96,2017,December,4971.77,Edmonton
97,2018,January,5218.13,Edmonton
98,2018,February,5259.79,Edmonton
99,2018,March,5527.64,Edmonton
100,2018,April,6024.39,Edmonton
101,2018,May,6341.09,Edmonton
102,2018,June,6710.38,Edmonton
103,2018,July,6811.88,Edmonton
104,2018,August,7009.35,Edmonton
105,2018,September,7228.45,Edmonton
106,2018,October,7311.47,Edmonton
107,2018,November,7582.99,Edmonton
108,2018,December,7687.79,Edmonton
